(-67,24,78), (-6,67,22), (45,62,82), (-39,-28,-84), (-32,75,61), (-74,-49,-94), (-46,89,-88), (43,85,43), (65,67,-86), (6,23,60)
(22,35,-13), (94,22,-45), (-33,-28,13), (78,-65,-66), (16,37,-67), (74,48,64), (88,73,85), (-54,23,36), (-85,-50,100), (-42,-75,-70)
(-67,-41,25), (5,38,24), (-11,99,29), (11,-40,80), (39,35,-64), (-6,-88,-60), (-57,39,18), (-85,36,75), (48,76,16), (-54,98,1)
(5,-65,-5), (-47,70,2), (-17,-25,59), (94,70,-31), (-91,-24,-71), (1,88,93), (42,19,-42), (-52,15,-89), (59,11,-48), (-61,28,-22)
(-65,50,-39), (-82,82,-3), (15,22,3), (94,-12,60), (-75,-79,32), (-3,55,-63), (-20,46,-97), (25,54,-2), (-59,-25,-63), (-12,-36,-98)
(64,-83,0), (10,-35,-26), (-36,14,91), (-16,17,1), (-18,-77,11), (38,-2,38), (72,-11,-48), (53,18,-23), (17,91,47), (-20,-33,24)
(75,96,11), (-50,3,-9), (85,33,64), (-77,17,58), (-99,46,1), (68,2,67), (12,-13,62), (99,-26,-8), (-14,-92,-2), (-56,2,23)
(57,98,-43), (-47,-47,-36), (63,80,58), (-44,3,-89), (-9,57,-53), (-51,-28,13), (9,55,-93), (16,-32,-18), (-99,30,18), (52,59,-61)
(-92,-99,52), (34,-1,45), (-85,17,25), (-78,30,83), (-70,94,64), (13,88,-51), (7,80,-77), (84,92,-59), (14,90,68), (44,-8,53)
(-4,-51,90), (79,-5,-83), (79,-69,6), (83,41,88), (-36,-86,54), (19,67,1), (76,45,-61), (67,40,96), (-68,47,-33), (-18,-82,-44)
(-11,54,66), (66,-92,56), (40,-76,-96), (-91,60,-64), (38,52,3), (-52,55,33), (-47,-80,-48), (-47,21,92), (98,-93,30), (74,-96,-25)
(88,84,3), (-84,-53,-94), (-64,-38,-63), (-30,90,64), (-68,99,-6), (68,-49,-99), (-59,-18,-8), (25,-59,55), (-66,-24,43), (62,-5,91)
(38,61,-24), (-26,77,-81), (-91,-67,-60), (-21,93,-2), (21,-42,77), (-69,-33,100), (-1,-34,95), (65,19,33), (13,83,-68), (-1,85,20)
(-42,-62,25), (-37,53,-91), (37,9,-67), (-98,37,-4), (43,-14,43), (47,-59,32), (-56,-85,42), (85,21,78), (-56,88,47), (-95,-46,93)
(0,-9,-95), (-93,60,-64), (-4,50,97), (62,14,-5), (45,-27,-82), (-46,-3,-93), (27,48,21), (-69,19,-14), (-58,53,-32), (-55,85,20)
(-72,-57,11), (4,-67,26), (-52,18,30), (51,79,2), (94,65,21), (-7,31,95), (28,10,74), (-43,62,12), (64,21,72), (38,88,45)
(80,94,32), (91,-38,33), (-64,90,59), (-33,-79,58), (46,-39,34), (27,47,-99), (41,-64,-30), (55,99,-26), (15,65,40), (16,-8,-56)
(-48,68,27), (12,-76,-56), (-55,-20,-79), (-59,2,44), (-80,-68,-3), (-18,-8,99), (-31,-2,-71), (48,93,-81), (56,-64,100), (45,82,95)
(6,43,77), (92,-60,-68), (43,-68,37), (-27,27,1), (36,22,5), (-9,98,-28), (99,58,65), (-48,28,76), (56,-47,-31), (31,-27,-87)
(40,-58,-3), (-49,83,44), (72,91,47), (-91,47,-54), (35,-79,-1), (-18,-84,98), (78,-9,-17), (35,-90,-32), (-12,83,77), (-43,17,58)
(-64,65,19), (-43,-41,34), (-62,50,-8), (-12,55,60), (11,36,25), (-64,-46,86), (-34,5,-81), (15,-22,-25), (19,-50,-71), (92,-19,-95)
(86,27,-39), (-64,-54,75), (-79,18,-35), (54,73,-32), (74,81,1), (11,-6,-84), (-41,-7,94), (-44,-10,-71)
